lat,lon,gym=0/ang=1,,,,,,,,,,,
-38.716,-71.7,0,,,,,,,,,,,
-38.428,-71.538,0,,,,,,,,,,,
-33.051,120.795,0,,,,,,,,,,,
-22.85138889,118.6277778,0,,,,,,,,,,,
-22.851,117.628,0,,,,,,,,,,,
-19.45,-43.967,1,,,,,,,,,,,
5.883,117.083,1,,,,,,,,,,,
6.1,-61.383,1,,,,,,,,,,,
6.917,-61.24,1,,,,,,,,,,,
10.433,-83.983,1,,,,,,,,,,,
-22.382,31.219,1,,,,,,,,,,,
-22.263,29.279,1,,,,,,,,,,,
-12.618,-69.183,1,,,,,,,,,,,
-10.15,-59.433,1,,,,,,,,,,,
-7.45,111.5,1,,,,,,,,,,,
-7.083,111.183,1,,,,,,,,,,,
7.85,38.7,1,,,,,,,,,,,
10.75,76.65,1,,,,,,,,,,,
15.667,99.167,1,,,,,,,,,,,
19.065,82.05,1,,,,,,,,,,,
30.28,130.58,0,,,,,,,,,,,
30.4,130.5,0,,,,,,,,,,,
36.667,-118.9,0,,,,,,,,,,,
36.683,-118.933,0,,,,,,,,,,,
38.4,-122.9916667,0,,,,,,,,,,,
38.4,-122.984,0,,,,,,,,,,,
38.883,-79.236,0,,,,,,,,,,,
40.868,-124.067,0,,,,,,,,,,,
40.8748,-124.046045,0,,,,,,,,,,,
41.403372,-124.029885,0,,,,,,,,,,,
41.451,-124.036,0,,,,,,,,,,,
41.784,-124.068,0,,,,,,,,,,,
41.795414,-124.104703,0,,,,,,,,,,,
40.25,-100.2666667,1,,,,,,,,,,,
42.766,10.183,1,,,,,,,,,,,
34.683,-94.63,1,,,,,,,,,,,
35.1,126.55,1,,,,,,,,,,,
35.379,139.103,1,,,,,,,,,,,
35.44,126.76,1,,,,,,,,,,,
35.678,-93.968,1,,,,,,,,,,,
35.722,-93.4,1,,,,,,,,,,,
35.736,-93.78,1,,,,,,,,,,,
35.78,-93.556,1,,,,,,,,,,,
38.183,15.867,1,,,,,,,,,,,
39.13,16.667,1,,,,,,,,,,,
40.315,15.899,1,,,,,,,,,,,
40.467,15.4,1,,,,,,,,,,,
40.816,14.433,1,,,,,,,,,,,
41.75,2.469,1,,,,,,,,,,,
41.75,16,1,,,,,,,,,,,
41.76,14.2,1,,,,,,,,,,,
41.777,2.454,1,,,,,,,,,,,
41.78,2.444,1,,,,,,,,,,,
41.81,2.38,1,,,,,,,,,,,
41.81,13.717,1,,,,,,,,,,,
41.82,23.08,1,,,,,,,,,,,
42.684,-2.491,1,,,,,,,,,,,
42.68416667,-2.49138889,1,,,,,,,,,,,
43.15,10.9,1,,,,,,,,,,,
43.15277778,-1.59638889,1,,,,,,,,,,,
43.153,-1.596,1,,,,,,,,,,,
43.28,-79.8,1,,,,,,,,,,,
43.85,11.733,1,,,,,,,,,,,
44.26,-76.4,1,,,,,,,,,,,
44.33,-79.6,1,,,,,,,,,,,
44.333,142.25,1,,,,,,,,,,,
44.37,-78.3,1,,,,,,,,,,,
44.58,-76.32,1,,,,,,,,,,,
44.86,8.32,1,,,,,,,,,,,
45.75,14.03,1,,,,,,,,,,,
45.8,27.02,1,,,,,,,,,,,
45.9,12.416,1,,,,,,,,,,,
46.05,12.383,1,,,,,,,,,,,
46.067,10.934,1,,,,,,,,,,,
46.35,-79.4,1,,,,,,,,,,,
46.35,8.6,1,,,,,,,,,,,
46.763,7.172,1,,,,,,,,,,,
46.994,7.545,1,,,,,,,,,,,
47,7.483,1,,,,,,,,,,,
47.083,7.167,1,,,,,,,,,,,
47.7,14.44166667,1,,,,,,,,,,,
47.8,14.44166667,1,,,,,,,,,,,
47.9,14.44166667,1,,,,,,,,,,,
48.017,-2.167,1,,,,,,,,,,,
48.1,-1.67777778,1,,,,,,,,,,,
48.18,16.2,1,,,,,,,,,,,
48.19111111,16.20722222,1,,,,,,,,,,,
48.25,-1.7,1,,,,,,,,,,,
48.3,2.67,1,,,,,,,,,,,
48.333,-1.833,1,,,,,,,,,,,
48.333,1.167,1,,,,,,,,,,,
48.38,2.67,1,,,,,,,,,,,
48.777,6.217,1,,,,,,,,,,,
49.783,6.35,1,,,,,,,,,,,
50.12,20.38,1,,,,,,,,,,,
51.09,10.52,1,,,,,,,,,,,
51.314353,-0.836869,1,,,,,,,,,,,
51.5,9.78,1,,,,,,,,,,,
51.98,-0.59,1,,,,,,,,,,,
52,-0.58,1,,,,,,,,,,,
52.217,-4.216,1,,,,,,,,,,,
52.833,0.5,1,,,,,,,,,,,
54.978,25.181,1,,,,,,,,,,,
55.267,-3.433,1,,,,,,,,,,,
55.27,-3.43,1,,,,,,,,,,,
55.66971,-3.954996,1,,,,,,,,,,,
60,23.08,1,,,,,,,,,,,
60,23.08333333,1,,,,,,,,,,,
60.416,22.167,1,,,,,,,,,,,
34.67,-84.183,1,,,,,,,,,,,
37.067,-89.6,1,,,,,,,,,,,
41.067,-74.017,1,,,,,,,,,,,
41.416678,-74.00535,1,,,,,,,,,,,
48.25,120.1,0,,,,,,,,,,,
22.916,112.93,0,,,,,,,,,,,
23.167,112.567,0,,,,,,,,,,,
23.183,113.35,0,,,,,,,,,,,
