lat,lon,gym=0/ang=1,PFT
46.91,6.79,0,1
59.3,90.7,0,1
40.033,8.717,0,1
31.017,115.717,0,1
35.78,104.05,1,7
35.867,104.033,0,1
37.8,-2.95,0,1
37.81,-2.96,0,1
44.417,-121.4,0,1
39.93,16.2,0,1
42.233,1.7,0,1
42.24,1.7,0,1
42.349,1.956,0,1
42.262,1.633,0,1
43.05,-5.25,0,1
43.07,-5.25,0,1
46.35,8.6,1,7
46.35,8.6,1,7
46.35,8.6,1,7
46.5,8.77,0,1
46.5,8.76,0,1
46.5,8.767,0,1
47.95,16.06,0,1
48.18,16.2,1,7
48.19111111,16.20722222,1,7
48.25,-1.7,1,7
48.333,-1.833,1,7
48.1,-1.67777778,1,7
48.38,2.67,1,7
48.3,2.67,1,7
50.12,20.38,0,1
50.12,20.38,1,7
50.05,20.333,0,1
50.05,20.333,1,7
50.036899,20.340865,0,1
50.036899,20.340865,1,7
60.75,89.38,0,1
60.717,89.133,0,1
51.41,-0.59,0,1
51.314353,-0.836869,0,1
51.314353,-0.836869,1,7
51.314353,-0.836869,1,7
51.314353,-0.836869,1,7
51.5,9.78,1,7
51.98,-0.59,1,7
52,-0.58,1,7
52,-0.58,1,7
52,-0.58,0,1
54.1,22.93,0,1
54.88,23.97,0,1
55.27,-3.43,1,7
55.267,-3.433,1,7
60,23.08,1,7
60,23.08,1,7
60,23.08333333,1,7
62,12.18,0,1
62.98,30.98,0,1
68.93,28.42,0,1
68.933,28.31,0,1
68.93333333,28.31666667,0,1
37.833,128.417,0,1
45.9,12.416,1,7
67.5,-162.2,0,2
68.1,-161.7,0,2
37.4333,98.03,0,1
68,-149.7,0,2
68,-147,0,2
46,10,0,1
46,10,0,3
60.81,-150.85,0,2
58.49,-155.67,0,2
59.81,-154.12,0,2
60.3,-153.99,0,2
35.1,126.55,1,7
35.44,126.76,1,7
35.1,126.55,0,1
35.43,126.76,0,1
42.43,-0.967,0,1
38.26,99.933,0,1
42.75,-0.867,0,1
42.75,-0.867,0,1
42.867,-0.8,0,1
33.04,102.8,0,1
68.733,161.383,0,3
63.1,139.08,0,3
68.4,-133.8,0,2
63.166,13.5,0,1
63.16666667,13.5,0,1
70,148,0,3
72,102,0,3
72,102,0,3
64.267,66.05,0,1
52.827,14.014,0,1
52.827,14.014,0,1
47.21,11.452,0,1
47.21,11.452,0,3
34.533,3.033,0,1
34.617,3.1,0,1
34.6,3.08,0,1
24.483,100.983,0,1
42.647,0.835,0,1
25.417,117.417,0,1
19.065,82.05,1,4
10.75,76.65,1,4
44.527,-122.632,0,1
43.565,-123.777,0,1
43.292,-123.583,0,1
43.167,-123.8,0,1
54.267,89.617,0,1
54.26138889,89.62388889,0,1
54.4,89.95,0,3
54.4,89.95,0,3
53.43,91.833,0,1
40.288,-0.807,0,1
40.322,-0.702,0,1
40.322,-0.702,0,1
40.329,-0.8,0,1
40.329,-0.807,0,1
40.5,-0.617,0,1
40.391,-0.663,0,1
40.391,-0.663,0,1
48.25,120.1,0,2
59.267,27.3,0,1
62.25,129.233,0,3
70.55,148.25,0,3
68.5,-133.483,0,2
60.016,-112.016,0,2
46.3,7.6,0,1
46.408,7.792,0,3
46.433,7.8,0,3
46.40833333,7.79166667,0,3
46.417,7.817,0,1
46.067,10.934,1,7
46.067,10.934,0,1
67.95,20.03,0,1
67.898,20.082,0,1
68,20.03,0,1
59.44,18,0,1
59.44,18,0,1
52.833,0.5,1,7
52.833,0.5,1,7
41.966,-2.75,0,1
42,-2.75,0,1
42,-2.817,0,1
41.967,-2.816,0,1
41.72,2,0,1
41.82,23.08,1,7
42.03,23.96,0,1
43.92,7.76,0,1
45.8,27.02,1,7
44.86,8.32,1,7
41.78,2.444,1,7
41.777,2.454,1,7
41.75,2.469,1,7
41.81,2.38,1,7
44.29,11.18,0,1
45.75,14.03,1,7
43.89,7.06,0,1
31.517,101.7,0,1
46.40833333,7.79166667,0,3
52.23,-0.46,0,1
52.23,-0.46,1,7
65.8,87.9,0,1
68.5,27.5,0,1
68.5,27.5,0,1
34.67,-119.95,0,1
57.917,-152.6,0,1
35.78,-93.556,1,7
35.736,-93.78,1,7
35.678,-93.968,1,7
-38.716,-71.7,0,1
36.683,-118.933,0,1
36.667,-118.9,0,1
57.333,-135.567,0,1
35.27,101.95,0,1
35.379,139.103,1,7
35.44,139.231,0,1
48.35,-116.833,0,1
48.35,-116.833,0,1
48.366,-116.75,0,1
48.366,-116.75,0,1
45.5,-75.9,1,7
47.329,-114.869,0,1
47.329,-114.869,0,1
46.954,-114.328,0,1
46.954,-114.328,0,1
46.856,-114.685,0,1
46.856,-114.685,0,1
46.65,-113.65,0,1
46.65,-113.65,0,1
45.928,-114.265,0,1
45.928,-114.265,0,1
46.77795,-111.777,0,1
46.77795,-111.777,0,1
60.416,22.167,1,7
48.333,1.167,1,7
30.4,130.5,0,1
30.28,130.58,0,1
48.574,-70.979,0,2
48.624,-70.565,0,2
48.675,-70.614,0,2
48.625,-70.535,0,2
48.902,-70.61,0,2
50.924,11.589,0,1
35.58,108.68,0,1
43.153,-1.596,1,7
43.15277778,-1.59638889,1,7
43.15277778,-1.59638889,1,7
42.684,-2.491,1,7
42.68416667,-2.49138889,1,7
42.68416667,-2.49138889,1,7
47.133,7.58,0,1
47.167,8.25,0,1
47.17972222,8.25722222,0,1
47.083,7.167,1,7
47.217,7.416,1,7
47.217,7.416,0,1
47.217,7.416,1,7
47.217,7.416,0,1
47,7.483,1,7
47.16583333,7.26833333,0,1
47.16583333,7.26833333,0,3
47.16583333,7.26833333,0,1
47.16583333,7.26833333,0,1
47.16583333,7.26833333,0,1
47.16583333,7.26833333,0,1
47.16583333,7.26833333,0,3
47.16583333,7.26833333,0,1
47.16583333,7.26833333,0,1
47.16583333,7.26833333,0,1
46.08,11.051,0,1
46.25,11.495,0,1
46.25,11.49527778,0,1
46.292,11.613,0,1
46.29222222,11.61361111,0,1
46.25,11.49527778,0,1
54.644,25.184,0,1
54.978,25.181,1,7
67.732,33.714,0,1
67.75,33.533,0,1
68.93333333,28.31666667,0,1
62.983,31.267,0,1
62.98333333,31.26666667,0,1
44.73,-94,0,2
-38.428,-71.538,0,1
64.717,148.4,0,2
69.667,27.08,0,1
69.117,27.25,0,1
66.367,26.717,0,1
68.133,23.4,0,1
48.073,8.837,0,1
38.517,105.767,0,1
46.40833333,7.79166667,0,3
68.8,15.733,0,1
40.816,14.433,1,7
40.816,14.433,1,7
43.28,-79.8,1,7
44.37,-78.3,1,7
48.777,6.217,1,7
36.692,-5.019,0,1
36.72,-4.965,0,1
36.72,-4.965,0,1
36.722,-4.965,0,1
42.766,10.183,1,5
43.15,10.9,1,7
40.315,15.899,1,7
-33.051,120.795,0,1
70.633,103.35,0,3
23.183,113.35,0,1
22.916,112.93,0,1
23.167,112.567,0,1
23.633,113.85,0,1
45.018,6.5355,0,3
38.115,-2.748,0,1
44.7,-0.767,0,1
7.85,38.7,1,4
7.85,38.7,1,4
32.117,35,0,1
32.033,35,0,1
31.117,35,0,1
51.09,10.52,1,7
38.4,-122.984,0,1
38.4,-122.9916667,0,1
40.868,-124.067,0,1
40.8748,-124.046045,0,1
65.967,88.45,0,1
41.451,-124.036,0,1
41.403372,-124.029885,0,1
41.784,-124.068,0,1
41.795414,-124.104703,0,1
47.0333,8.717,0,1
52.217,-4.216,1,7
49.783,6.35,1,7
57.15,-110.86,0,2
56.21,-111.2,1,8
38.883,-79.236,0,1
49.15,9.93,0,1
49.15,9.53,0,1
39.817,-1.25,0,1
42.067,-2.5,0,1
68.1,60,0,1
56.367,92.95,0,1
67.2,59.5,0,1
46.994,7.545,1,7
40.95,100.18,1,7
40.95,100.18,1,7
62.233,129.617,0,3
63.067,87.533,0,1
60,133.817,0,3
60,133.817,0,3
46.05,12.383,1,7
43.85,11.733,1,7
41.81,13.717,1,7
41.76,14.2,1,7
41.75,16,1,7
40.467,15.4,1,7
39.13,16.667,1,7
38.183,15.867,1,7
46.35,-79.4,1,7
44.26,-76.4,1,7
44.33,-79.6,1,7
44.58,-76.32,1,7
48.017,-2.167,1,7
44.333,142.25,1,7
48.1,-1.67777778,1,7
46.763,7.172,1,7
50.036899,20.340865,0,1
50.036899,20.340865,1,7
46.40833333,7.79166667,0,3
41.067,-74.017,1,7
41.067,-74.017,1,7
41.416678,-74.00535,1,7
41.416678,-74.00535,1,7
35.722,-93.4,1,7
-12.618,-69.183,1,4
6.1,-61.383,1,4
10.433,-83.983,1,4
6.917,-61.24,1,4
-10.15,-59.433,1,4
5.883,117.083,1,4
-19.45,-43.967,1,4
15.667,99.167,1,4
15.667,99.167,1,4
15.6,99.2,1,4
15.6,99.2,1,4
5.033,-58.617,1,4
-7.45,111.5,1,4
-7.083,111.183,1,4
-15.833,-62.85,1,4
-22.851,117.628,0,1
-22.263,29.279,1,6
-22.382,31.219,1,6
52.233,104.183,0,3
55.85,108.917,0,3
53.283,107.633,0,3
54.26138889,89.62388889,0,1
54.4,89.95,0,3
68,20.03,0,1
68.55,22.14,0,1
53.85,22.96,0,1
41.416678,-74.00535,1,7
41.416678,-74.00535,1,7
37.067,-89.6,1,7
34.67,-84.183,1,7
34.67,-84.183,1,7
34.683,-94.63,1,7
46.40833333,7.79166667,0,3
